LT031-0202|Tuoj įjungsiu šviesas, - pažadėjo Vinstonas. - Ženkite vidun, užverkite duris.
LT013-0218|Mirktelėjo mintis - kaip angliškai „achoo“, čiaudėjimo garsas. Kokia juokinga kalba.
LT031-0187|Profesoriau, jūs mane pralinksminote! - nusikvatojo Vinstonas.
LT006-0007|Keturioliktas. PATIKIMUMO MYGTUKAS
LT002-0009|Šioje dalyje Jūs sužinosite apie:
LT031-0194|Taip. - Puiku. Dabar jums reikės vadovautis mano instrukcijomis.
LT024-0147|Fardinas padarė klaidą, nes jis mane taip suvartė, kad aš negalėjau niekaip atsikirsti,
LT020-0124|tuščią stiklinę ir plastikinę tarą ir nešdavo į taromatą, o už gautus
LT038-0130|Pagal tradiciją du įsimylėjėliai drauge ateidavo ant tilto, prikabindavo spyną su ant jos įbrėžtomis savo vardų raidėmis
LT020-0007|Ne, ji man jau šį tą reiškė.
LT014-0098|Ką galėjau daryti? Eiti į policiją? Pasakoti jiems, kad aš esu ne aš, nors turiu dokumentus, pagal kuriuos aš esu tikrai aš?
LT006-0062|Ji padės klientui priimti informatyvų sprendimą. Taigi galite kurti informacinį produktą arba pranešimą.
LT035-0092|Du trečdaliai žinomų žvaigždžių įvardyti šia kalba, nes jas atrado astronomai iš arabų pasaulio.
LT026-0003|Aistė dar buvo nespėjusi baigti visų masažų ir SPA procedūrų,
LT037-0032|Sulig tuo žodžiu agentas pasitraukė šalin ir vėl susitelkė į telefono skambutį.
LT030-0073|Gazuotas vanduo? - nusivaipė vienas. - Maniau, mes gersime drauge. Į barmenę atsigręžusio karininko veide pasirodė išvarginto žmogaus šypsena.
LT030-0082|O, visai kita šneka, drauguži! - stambesnysis susivertė gėrimą gerklėn ir trenkė bokalu į barą. - Dar po vieną!
LT003-0107|Jis pateiktas kitame puslapyje!
LT037-0102|Tolumoje kaukiant sirenoms, Ambra stoviniavo apleistos auditorijos viduryje ir spaudė telefoną prie ausies apsimesdama, kad visas jos dėmesys sutelktas į pokalbį,
LT029-0104|Ką aš galiu pasakyti, panoro atkirsti jis, mūsų studentai darosi protingesni.
LT036-0112|greta - du muziejaus apsauginiai
LT017-0081|Sėdėjo ant sofos, viena ranka glostė sau šviesius plaukus ir žiūrėjo į mane. Atsisėdau šalia,
LT022-0017|nes ne tik moterys pasmerks, bet ir vyrai, niekam nepatinka plakantys liežuviu miesto pižonai,
LT022-0115|matyt, sovietinė Lietuvos okupacija padėjo užaugti tobuliems vergams.
LT035-0166|Mano draugai, žinau, kad atvykote išgirsti mano pasakojimo apie atradimą, ir esu dėkingas, jog suteikėte man malonumą ir išklausėte savotišką įžangą.
LT035-0124|Skamba ironiškai, bet mašina buvo montuojama viduryje Jungtinių Valstijų regiono, praminto „Biblijos juosta“.
LT008-0042|Kur dūmai, ten ir pardavimas –
LT016-0016|Juk prisiminiau savo nekilnojamojo turto agentūros pavadinimą.
LT032-0162|Aš apsirengęs itin madingai.
LT023-0022|Nes čia viskas yra dėl skaitytojų, o pačioms skaitytojoms ne tiek tų knygų reikia, kiek autorės įvaizdžio.
LT009-0016|UKP - Karšta šviežia pica per trisdešimt minučių, arba ji - nemokama! (Domino Pizza).
LT027-0048|tai už visus neigiamus dalykus būna atlyginta teigiamais ir kad mane pasirinko likimas, man padovanodamas Lietuvą kaip dovaną.
LT021-0212|- Kvietė, kvietė; tik jis nebeina, vengia, - atsakė Murlauskas. - Manęs bijo, pidarstas, - pridūrė patenkintas.
LT019-0144|Pirmiausia, praeities nesugrąžinsi.
LT012-0006|Tai darau dėl dviejų priežasčių:
LT028-0010|Aplink buvo pripūsta ir plevėsavo ore kelios dešimtys oro balionėlių, vaizduojančių kruvinus tamponus.
LT029-0262|Tolumon nudrikusią chaotišką pavidalų masę dengė daugiau nei trisdešimt tūkstančių titano plokščių, blizgančių kaip žuvies žvynai, keliančių įspūdį,
LT035-0235|Jis atsiminė kraupoką vaizdą, kaip vienas iš renginio dalyvių, turbūt sulaukęs perspėjimo apie antpuolį, prieš pat šūvį nuskuodė link pakylos.
LT023-0082|Moterys Lietuvoje nėra niekuo blogesnės už vyrus, arba, tiksliau, vyrai nėra niekuo geresni už moteris.
LT025-0073|Sėdėjau netekęs žado. Planas buvo puikus, bet kaip man jį parduoti tai bendrovei, kuri pasamdė mane? Jie juk šito visko nežino?
LT034-0090|Rabinas apmąstė jo žodžius.
LT020-0061|Iš tikrųjų pirmą kartą girdėjau, kad jis vertino maistą. Fardinas Ašuras man to neminėjo, kai pasakojo.
LT009-0024|Pagrinde, jūsų U K P išskiria jus iš konkurentų.
LT023-0020|(joms tai tolygu išdavystei, nes jos sako tuo momentu, kai sako, o paskui visi turi užmiršti, jei joms tai patogiau),
LT016-0029|Nevalgiau nieko nuo tada, kai išlindau iš to rūsio vakar (reikės ten nueiti ir pažiūrėti, nors ir absurdiška mintis,
LT032-0105|ganėtinai elementarus darbas, o pastangos suprasti, kaip duomenų fragmentai tarpusavyje siejasi ir susipina. Pats esate šios srities specialistas, tiesa?
LT032-0007|Sudėtingoje skulptūrinėje terpėje jis pasitelkė niekaip neprilaikomas sienas, kad žiūrovams sukurtų nestabilumo iliuziją.
LT031-0180|Edmondas įspaudė pėdsakus, simbolizuojančius istorinį, evoliucinį, pirmąjį jos žingsnį sausumoje.
LT035-0209|Ambrą apėmė siaubas išvydus, kaip futuristo kaktoje atsiveria raudona kiaurymė.
LT014-0176|Tas pats truputį apvalus airiškas akcentas.
LT025-0037|lietuviškų vitaminų serija jiems išmuš žemę iš po kojų. Todėl jie nusamdė savo specialistus, o tie norėjo nusamdyti mane, bet aš atsisakiau, supratęs, ką jie nori daryti,
LT039-0091|Kalbėdama Martin pirštu perbraukė ekraną ir atvertė kitą tinklalapį.
LT029-0008|Robertas Lengdonas,
LT011-0024|taip paprasta.. aišku..
LT030-0043|Štai man ženklas judintis. Avila pakilo nuo kėdės, paprašė sąskaitos, tačiau barmenė mirktelėjo ir numojo ranka. Jis padėkojo ir apsisuko.
LT002-0194|šis automobilis saugus arba, šis automobilis naudoja mažai kuro, tačiau tikroji tokio pirkinio priežastis dažnai būna visiškai kitokia.
LT015-0064|„Arba į nežinomą šalį“, - pagalvojau sau.
LT024-0079|Aktoriai, menininkai, žvaigždės, interneto veikėjai, rašytojai, dizaineriai, kurių kiekvienas ką nors kuria, ką nors išsigalvoja ir kuo nors yra įdomus.
LT021-0193|- Visaip būna, - pasakiau aš.
LT031-0215|Lengdonas teįstengė suglumęs spoksoti į priešais nušvitusį vaizdą.
LT022-0048|Kaip galima turėti tokią didžiulę teritoriją už miesto, kur niekam negaila vietos, ir vis tiek įrengti per mažą automobilių stovėjimo aikštelę,
LT029-0196|Na, jūs atvažiavote į reikiamą vietą! - vyriškis pamojo ranka į didžiulį statinį.
LT038-0141|Dabar į upę žvelgiantį Jehudą Kiovešą vis labiau apėmė nuovargis.
LT031-0237|visų mylimas septyniasdešimt aštuonerių alama Saidas al Fadlas kančiose ropojo per gilų smėlį. Eiti pirmyn nebeužteko jėgų.
LT037-0059|Mes niekur nepabėgsime, - ėmė prieštarauti jis. - Nė už ką... - Išklausykit, ką pasakysiu, - neatlyžo Ambra. - Aš numanau, kaip padėti Edmondui.
LT032-0266|Edmondas radikaliai ateistiškus įsitikinimus, regis dėstė ne visai tinkamai publikai, pamanė Lengdonas.
LT029-0015|Prasidėjus Edmondo Kiršo ir muziejaus direktorės
LT028-0108|Milda Barkleis švenčia triumfą, skelbdama visiems, kad dar vienas vyras nugalėtas.
LT038-0168|o jo pavadinimas „Sveika, Marija“ kilo iš folklorinių istorijų apie jūreivius, po kelionės
LT033-0066|Prabėgo penkeri metai, o mane vis dar persekioja atsiminimai. Admirolas piktai išginė iš galvos siaubingus vaizdus ir kišenėje susirado rožinį.
LT020-0086|Aistė išbėgo į kitą kambarį ir netrukus grįžo. Vien tik su kelnaitėmis, šypsodamasi. Atsistojo prieš mane. Ištiesė ranką.
LT033-0150|kurią Edmondas liepė paduoti taksistui.
LT023-0072|Aš užaugau Anglijoje, šalyje, kur moterims normalu yra išlįsti iš namų taip pat, kaip jos atrodė, kai atsikėlė iš lovos nevėdintame kambaryje.
LT014-0162|Aš dažnai atsidustu, kai reikia ką nors daryti, ko bijau ir kas nepatinka.
LT034-0144|Sieros kvapą užuodžiantį Lengdoną stulbino tai, kaip sumaniai Edmondas jo paskaitą pavertė visas jusles veikiančiu patyrimu.
LT007-0008|Žmonės susižavi matydami, kaip į juos panašūs žmonės daro tai, ką norėtų daryti jie.
LT002-0015|Todėl, kad... SAVYBĖS apeliuoja į žmogaus LOGIKĄ, NAUDA apeliuoja į žmogaus EMOCIJAS,
LT035-0123|priešpriešinių srautų greitintuvu visame pasaulyje, potencialiai galėjęs ištirti visatos susikūrimo momentą.
LT023-0021|ir užvis labiausiai nemėgsta, kai būna užrašyta, ką jos pasakė. Dokumentavimo jos labai nemėgsta. Todėl Sabaliauskaitės knygose mažai dialogų.
LT014-0177|- Labas, čia Timas.
LT036-0276|Man tikrai niekas negresia!
LT039-0048|kad gautume eismo stebėjimo kamerų duomenis, pagalbą iš oro, bet kokią įmanomą... - Nieku gyvu! - atkirto Garsa. - Nevalia leisti, kad rūmams kiltų tokių keblumų.
LT035-0011|Sustingę kaip statulos jie diskretiškai tūnojo medžių paunksnėje. Dėl blausaus apšvietimo tuodu neįstengs įžiūrėti Avilos ir tikrai pavėluos imtis veiksmų.
LT033-0196|lyg susidūrę su stebuklinga Kiršo technologija, gebančia atkirsti juos nuo išorinio pasaulio.
LT033-0033|Šventosioms mišioms... - Pasiruošta. Tėvas Derida mane pakeis.
LT033-0254|Profesoriaus galvoje vėl šmėstelėjo į balso pašto dėžutę įrašytas grėsmingas vyskupo Valdespino pranešimas.
LT011-0073|Dabar paanalizuokime labai šviežią pavyzdį, kuris tik elektroniniu paštu mums sugeneravo per penkių tūkstančių eurų pardavimus vos per tvi dienas..
LT032-0011|Oksidacija suteikė metalui apsvilusio vario atspalvį ir raižyto organinio paviršiaus išvaizdą.
LT032-0133|Beje, Edmondas prašė nusiimti ausines prieš įeinant ir padėti jas ant grindų išorinėje pusėje.
LT012-0031|bet, čia ne apie tai aš..
LT014-0212|- Kaip tik tai, ko reikia. Blaivas nesuprasi, -
LT008-0018|Taip įteisinsite savo verslą.
LT003-0035|Tai vadinama praradimo baime.
LT037-0192|Taip jau susiklostė, kad Ambrą Vidal jis saugojo pirmą kartą.
LT017-0183|Londonas, taip, ačiū. - Ar pageidausite, kad sujungčiau, ar atsiųsti jums numerį SMS žinute?
LT024-0118|kad galėtų pripist, apsimyžusios grįžti namo, išsivemti į šiukšlių konteinerį prie namų ir miegoti visą šeštadienį, o paskui eiti valgyti picos už akcijų kuponus?
LT029-0217|pažangių technologijų, kurios lėmė reikšmingus šuolius pačiose įvairiausiose srityse - tiek robotikos ir mokslo apie smegenis,
LT025-0052|bet pačiam nebuvo tekę su tuo susidurti.
LT037-0143|Poemos eilutę panaudojai vietoj slaptažodžio?
LT034-0234|egiptiečių dievas Ozyris, induistų garbinama keturrankė dramblio išvaizdos dievybė Ganeša, marmurinė Mergelės Marijos statula,
LT032-0243|Jie prisiekė saugoti paslaptį. Iki šios dienos jie tebėra vieninteliai žmonės, žinantys mano atradimo esmę.
LT032-0234|Vietovė įspūdinga, pagalvojo Lengdonas, ant kalno stovinčioje šventovėje viešėjęs prieš daugelį metų.
LT012-0105|Taip galėsiu kaip įmanoma geriau pasiruošti pokalbiui su jumis.
LT011-0061|Kaip empatija keičia tradicinį pardavėjų požiūrį?
LT031-0134|Tarkim, keturiasdešimt minučių trunkančią simfoniją, kurią sudaro vienui vienas akordas ir tylos periodas, gebėtų parašyti bet kas,
LT007-0018|ir visai nesvarbu, ar Jūs senas, jaunas, turtingas, nepasiturintis, vyras ar moteris.
LT026-0057|Daužydami bokso kriaušę, marozai buvo taip smarkiai užsiėmę, kad negalėjo daugiau apie nieką kalbėti ir galvoti, tik bukai kaip avinai žiūrėjo vienas į kitą,
LT014-0214|Buvo ilga diena. Rytoj viskas bus aiškiau.
LT038-0228|B I O tikrai buvo kodas - nors jį įskaityti neką sunkiau nei visame pasaulyje egzistuojančius atitikmenis: B O S,
LT013-0169|Tai nebuvo angliškas užrašas. Tai nebuvo užrašas prancūzų kalba - nors beveik nemoku prancūzų kalbos, aš buvęs Prancūzijoje ir ją atskirčiau
LT021-0003|Kaip man reikia elgtis, aš nelabai pats žinojau, bet sugalvojau tokią formulę, arba vaidmenį sau.
LT023-0036|lietuvių moterys dažnai yra įsitikinusios, kad nusipelno daugiau nei jų nuobodus darbas ir vidutiniškas gyvenimas.
LT023-0171|nes tada juos kviečia vesti vestuvių ir krikštynų, taip pat korporatyvinių vakarų padangų pardavėjams, kur jiems jau moka tikrus pinigus.
LT033-0219|Kambarį nelauktai perliejo skardūs aplodismentai, bylojantys, kad nemažai susirinkusiųjų puikiai žino, kas ji tokia.
LT037-0257|Profesoriau, norėčiau kai ką pasakyti... - tarė Vinstonas.
LT031-0147|Kaip įdomu, - atsiliepė Vinstonas. - Mano nuomone, kas jau kas, bet jūs turėtumėte vertinti „Maman“,
LT037-0060|Ką? - Lengdonas juto, kad ji tebėra ištikta šoko. - Edmondui jau negalime padėti.
LT028-0151|jog kada nors galėjau pagalvoti, kad šitą, man dovanotą margaspalvį gyvenimą galiu iškeisti į pilką beviltišką Anglijos nuobodybę,
LT030-0181|Tai konceptualiojo meno atstovės Dženės Holzer rankų darbas. Vadinasi „Bilbao skirta instaliacija“.
LT015-0058|Atsiliepė jauna moteris.
LT004-0089|Kviečiu pagooglinti ir juos surasti ir paskaityti kaip jie aprašo savo produktus.
LT024-0110|O jis išprotėjęs dėl kvepalų, turi kolekciją aštuoniasdešimties ar devyniasdešimties buteliukų.
LT039-0040|Dabar man teks kovoti prieš kompiuterį? Garsa vėl pasijautė per senas, kad gebėtų prisitaikyti prie šiuolaikinio pasaulio.
LT021-0089|neieško nei tiesos, nei informacijos, nei kokių nors papildomų gyvenimo spalvų
LT036-0215|Valdespinas juto, kaip jo skrandį suveržia mazgas, bet padarė pauzę, iškvėpė ir kuo romiau atsakė:
LT011-0012|(turiu jau per keturis šimtus įvairiausių knygų apie marketingą ir pardavimus) ant stalo ir imu vartyti, skaityti, analizuoti ir galvoti ką dabar pritaikyti.
LT014-0096|jei čia ne sapnas, kuris niekaip negali baigtis).
LT028-0139|ir ar čia atsitiktinumas.
LT015-0010|Tu jį pažįsti ir automatiškai manai, kad jis pažįsta tave, nes nepagalvoji, kad ne, jis tavęs nepažįsta.
LT039-0049|Atlik savo darbą. Pats juos surask ir kuo greičiau perduok ponią Vidal mūsų globai.
LT023-0080|Lietuvoje, jei žmogus (vyras ar moteris) atrodo taip, kaip anglas, žinok, kad kažkas jo gyvenime yra labai, labai negerai.
LT021-0021|„Įsikibk manęs - bus tvirčiau“, taip pat reklama su briedžiu - visa tai mano kūryba. Tiesa, po nušauto šuns aktualijų
LT011-0140|P.P.S. Čia galite peržiūrėti seminaro oficialią svetainę, kurioje rasite visą informaciją apie tai, kas jūsų laukia ir audio įrašuose.
LT038-0172|Ko mes laukiame, apimtas dvejonių, savęs paklausė profesorius.
LT036-0111|Kaip sužinojote apie žmogų su jūrų karininko uniforma? Lengdonas atsigręžė į Edmondą, kuris gulėjo šalia pakylos. Prie kūno klūpėjo Ambra Vidal,
LT030-0038|Vien tik kruvinos nuolaužos ir apanglėjusios akmeninės grindys. Klaikius prisiminimus, laimei, į šipulius sutrupino nuo baro durų atsklidęs dzingtelėjimas.
LT038-0169|įplaukiančius į upę ir kalbančius maldas, kuriomis jie dėkodavo Mergelei Marijai už galimybę saugiai grįžti namo.
LT008-0107|Unikalus komercinis pasiūlymas atsispindės visų Jūsų skelbimų, laiškų, brošiūrų, televizijos ir radijo pranešimų antraštėse.
LT014-0075|Bet viskas toje piniginėje buvo apie kitą žmogų.
LT032-0292|žalą, kurios aiškiai nenumatėte. Aš laukiu jūsų skambučio ir labai prašau nebandyti mano ryžto.
LT038-0025|Karališkosios šeimynos nuosavybės ir garbės saugojimą gvardiečiai agentai manė esant pareiga, kurią vykdyti jie prisiekė Viešpačiui.
LT033-0267|panašaus į tamsų, ilgą tunelį.
LT032-0057|Ne akis į akį, o per ausines šnekamės dėl kitos priežasties.
LT014-0011|Pirmosios epochos truko 10 sekundžių. Kitos jau truko šimtus tūkstančių metų.
LT029-0288|kaip jokia kita vieta idealiai tiko žmogui, kuris taip dievino meną ir naujoves ir kuriam taip aiškiai nušvisdavo ateitis.
LT019-0145|Antra, tai net ne mano praeitis. Aš ten nebuvau.
LT029-0243|Negi garsusis ateistas pagaliau atrado Dievą? Edmondas nuoširdžiai prajuko.
LT028-0145|Mikrofonas ten įstrigo ir užkimšo kvėpavimo takus.
LT026-0021|kad ir iki sovietų okupacijos ši šalis buvo pilna runkelių, kurie rengėsi ne plastikinėmis
LT021-0033|kiek kas uždirba, viena kitai ir visiems aplinkiniams, kurie tik klausosi.
LT033-0187|Keturioliktas skyrius.
LT002-0048|Ji akivaizdžiai žadina smalsumą, nes yra netradicinė (Niekam neatiduokite savo senų papuošalų, kol neperskaitysite šio laiško).
LT033-0030|La Santa misa estą...
LT013-0121|apvilktus skafandrais, į specialius sarkofagus su skysčiu
LT036-0191|Moralinė priedermė?
LT030-0177|judėjimo iliuziją sukuria miniatiūrinių šviesos diodų apvalkalas, dengiantis vertikalius strypus.
LT025-0020|į laisvąjį pasaulį ir į sovietų kalėjimą, ir kai žmonės dar galėjo per ją perlipti, ir kai buvo aišku, kad tik iš vienos pusės šaudo
LT011-0089|vos už devyniasdešimt septynis Eurus
LT014-0154|Gal katalikai. Bus laiko išsiaiškinti iki Kalėdų.
LT039-0052|Ji buvo užsidėjusi įprastus technokratės akinius storais stiklais, apsirengusi smėlio spalvos kostiumėliu su kelnėmis,
LT026-0070|Diedas sustojęs žiūrėjo į mane buku idioto žvilgsniu ir tapšnojo viena ranka sau per pilvą, o kita - per krepšiuką pederastkę.
LT003-0122|„Cosmo“ žurnalo su publikuotais seksualiausių žmonių rinkimais parduota du milijonai trys šimtai tūkstančių kopijų.
LT003-0043|Antras. GODUMO MYGTUKAS
LT036-0019|Antrą sykį pastojusi Chulijano motina mirė dėl nėštumo komplikacijų, ir daugumą nustebino karaliaus apsisprendimas
LT013-0004|Kaunas, Obuolys, du tūkstančiai septyniolikti metai.
LT003-0015|noras būti pripažintam.
LT019-0122|Tačiau prie sienelės jis niekada nesifotografuodavo. Matyt, žinojo, kad jei per daug lįs į viešumą, jo gali tikrai pradėti
LT037-0236|Neįtikima, bet Vinstonas, regis, jau sukurpė planą.
LT035-0015|abi buvo magnetais pritvirtintos prie vertikalaus koto, todėl jas galima lengvai pašalinti.
LT013-0166|Perskaitęs dvidešimt kartų, pradėjau apžiūrinėti raidę po raidės, lyg tai būtų ne raidės, bet hieroglifai, ir galėjau potepiuose įžiūrėti kitas prasmes.
LT039-0103|Gali, sere, - atsakė Martin. - Prieš kelias dienas Valdespinas akis į akį bendravo su Kiršu.
LT012-0067|jūsų “direct mail” pasiūlymus,
LT037-0230|Mums belieka vienintelė išeitis: teks kitaip sužinoti slaptažodį.
LT031-0121|Iš tikrųjų kadras įamžino iliuziją, nuostabiai sumąstytą ir velniškai puikiai nuretušuotą skustuvo ašmenimis - kur kas anksčiau, nei atsirado „Photoshop“ programa.
LT028-0081|kuris negalėjo likti nuošalėje ir turėjo atvykti, nors ir buvo girtas.
LT019-0156|(malonu, kad ir prie mano užrašė).
LT001-0079|kurie dažnai ne tik nesusilaukia didesnės sėkmės, tačiau gali ir pakenkti - tiesiog atbaidyti tikslinius klientus, kurie gali daugiau nesugrįžti.
LT014-0166|Būna žmonių, kurie neprisimena savo telefono numerio. Aš prisiminiau.
LT034-0194|apie mistinį pomirtinį gyvenimą debesuotame danguje arba liepsningame pragare.
LT001-0021|Du tūkstančiai trčiaisiais metais, būdamas pirmakursis, įkūrė savo pirmąjį verslą
LT017-0198|„Taip. O tu?“
LT033-0134|Tavo autoportretas? Lengdonas vėl patyrinėjo kreivų linijų rinkinį.
LT027-0068|Naujai gavus finansavimą jau buvo kuriama supergalinga oro bendrovė Vilniuje, sujungsianti Lietuvos, Latvijos, Estijos ir Skandinavijos aviaciją po vienu sparnu
LT036-0106|Abu vyrai pažvelgė vienas į kitą sustingę ryškioje šviesoje.
LT035-0084|Lengdonas bemat atpažino senovinį Bagdadą, jo neįprastą rato formos teritoriją su trimis koncentriniais šaunamųjų angų žiedais dantytose sienose.
LT013-0216|Nereikia. Pradės klausinėti, kur noriu nueiti; pasirodysiu neadekvatus ir turėsiu apsimetinėti ir išsisukinėti, kai net pats nežinau, ką meluoti.
LT021-0062|Stebėti prijaukintą prie pinigų meno ir kultūros darbuotoją yra smagiausias vaizdas pasaulyje. Niekas taip nedžiugina.
LT031-0008|Nepaisydamas senyvo amžiaus ir prastos sveikatos, jis aktyviai dalyvavo tiek Vengrijos, tiek pasaulinės žydų bendruomenės veikloje.
LT006-0010|Tryliktas. BAIMĖS SUKLYSTI MYGTUKAS
LT036-0137|Atkreipęs dėmesį į moters išraišką, agentas skubiai žengė prie jos. - Ponia Vidal, vardas jums girdėtas?
LT038-0051|kad pasiligojęs karalius nebegali kalbėti viešai, princas neišvengiamai privalės pasisakyti apie nerimą keliančius įvykius.
LT032-0249|esą religiją visada laikiau masinių iliuzijų forma, ir man, mokslininkui, nelengva susitaikyti su mintimi, kad milijardai protingų žmonių
LT021-0175|ir, truktelėjęs už laido, nutraukė žemyn bulvių tarkavimo mašinėlę, kurią Sonatai iš Lietuvos buvo atvežusi jos mama.
LT039-0116|Klausykite, - panišku tonu sušnibždėjo Martin, - jums derėtų peržiūrėti gerokai daugiau informacijos - nedelsiant, prieš pratęsiant pokalbį su vyskupu arba princu.
LT002-0085|Labai šaunu, kad rūpinatės savo sveikata. Mūsų sporto klube matau vis daugiau žmonių, kurie, rūpindamiesi savo širdimi, stengiasi vartoti kuo mažiau pieno produktų.
LT026-0102|- O pati iš kur? - paklausiau blynininkės.
LT029-0053|Kiek suprantu, jūs - Edmondas Kiršas? - melodingu tonu pasiteiravo vyskupas, kai svečias išlipo iš vagono.
LT029-0131|Turint omenyje Kiršo biografiją, jo prašymas kreiptis į mus tris gerokai mane sutrikdė. Todėl dabar leisiu jam paaiškinti savo viešnagės priežastis.
LT026-0044|bet taip pat ir Amerikoje blogiausias gatves pavadina Martino Lutherio Kingo vardu kiekviename mieste, be jokių išimčių) kažkokie išsigimėliai daužė bokso kriaušę,
LT011-0077|Tai suteikia pripažinimo jausmą esamiems klientams, o mums - nuima nemažai darbo ruošiant interneto svetainę ir visą kitą marketingo medžiagą
LT015-0045|Bet palauk! Aš juk negaliu turėti jokių suplanuotų susitikimų, nes visi žmonės, su kuriais aš maniau, kad turiu susitikti, manęs juk nepažįsta.
LT013-0047|Kanadiečiai yra ramūs ir apsirūkę, niekuo nesirūpina gyvenime ir jie puikiai netrukdė.
LT002-0187|Atsakymas labai paprastas – sąžiningumas.
LT036-0249|Mūsų draugystę laikau didele garbe, kurią branginsiu amžinai.
LT017-0141|pro praviras duris pamačiau šiek tiek koridoriaus, kuris atrodė visiškai kitaip, nei aš jį atsiminiau.
LT025-0062|Todėl aš su jais kovoju, kaip moku.
LT032-0202|Bažnyčia tris šimtmečius smerkė ir neigė jo atradimą, bet padarytos žalos atitaisyti negalėjo - pasaulis persimainė amžiams.
LT012-0062|Dešimtas. Jeigu jūs nesiruošiate pritaikyti to, ką aš jums paruošiu - NESIREGISTRUOKITE.
LT023-0142|Kai alaus mėgėjai pasensta (jei nemiršta anksčiau), jie pradeda valkiotis į visus viešus renginius ir iš salės šūkčioti klausimus ir patarimus,
LT028-0162|Bet dabar žinau, kad tau viskas gerai. Imk savo naują gyvenimą ir džiaukis juo.
LT014-0044|prie prekystalio pirmos meniu pastebėtos Americano. Pardavėja pasisuko virti kavos, aš akimis tyrinėjau didelį meniu virš baro.
LT027-0034|- Kad viskas augtų ir žydėtų, - pasakė atlikėjas jau garsiau, paskui atsisuko į publiką ir pamojavo savo vyriškumu, išlindusiu iš sportinių šortų.
LT032-0070|Čia kažkoks pokštas?
LT016-0159|- Seniai nesimatėm.
LT022-0026|tokie išsigimėliški, kaip laidos „Kitokia Lietuva“, kurias klausydavau, kartkartėm važinėdamas Lietuvoje ilgus atstumus.
LT002-0212|Tačiau nepamirškite, nors logika ir yra labai svarbi vartotojo sprendimams įsigyti automobilį ar visureigį,
LT024-0007|ir tai buvo viskas, ką jie tais laikais galėjo pamatyti),
LT037-0100|Profesorius skubiai peržvelgė nustatymų meniu ir išjungė slaptažodžio apsaugą.
LT030-0149|ir per atriju nuėjo link kitų svečių, kurie laukė liftų, prie skruostikaulių priglaudę tokių pat ausinių daviklius.
LT004-0035|Štai kodėl internetu siunčiamos elektroninės knygos yra tokios populiarios.
LT016-0103|Ranką tiesė madingai apsirengęs hipsteris su baltais laidais, einančiais iš švarko kišenės, rudas švarkas buvo raudonojo vyno spalvos langais,
LT017-0108|kas aš buvau Anglijoje, kuo radau esantį save - kai ką pasakojau net kelis kartus,
LT011-0008|Svarbias naujienas, partnerių pasiūlymus
LT037-0135|Būtų nesmagu, ar ne?
LT035-0099|Numeracija prasidėjo iš naujo, tik šįsyk ji buvo pateikta arabiškais simboliais. Vienas, du, trys, keturi, penki...
LT028-0027|- Jūs man dabar už viską atsakysite, jūs filmavote mano poilsio namuose ir sumontavote
LT009-0040|Klientai dažnai yra skeptiški - todėl ne visuomet patikės jūsų reklaminiais skelbimais. Taigi, jų skepticizmą imkite ir pašalinkite -
LT030-0079|Abu vyrai bemat į jį įsikibo. - Ei! Ką darai?
LT035-0106|per televizijos žinias rodomų Vidurinių Rytų miestų, ir nė nenutuokia, jog kitados jis buvo žmonijos mokslinės pažangos centras.
LT021-0174|Paaiškėjo, jog viskas buvo dėl to, kad vaikas žaidė ant grindų
LT038-0193|Man nė už ką nederėjo Edmondo reikalų aptarti su Chulijanu. - Ambra vėl atsisuko į profesorių.
LT030-0123|Iš patiriamų pojūčių Lengdonas atpažino tik giliai gerklėje nusėdusį sterilumo prieskonį. Toks pat oras tvyrojo bet kuriame pasaulio muziejuje
LT029-0145|Jie sieks nuslėpti informaciją, užuot ją viešinę.
LT033-0025|Jūsų Excelencia?!
LT038-0015|Skamba ironiškai, bet suvokimas, kad pistoletu teko grasinti liberaliojo popiežiaus gerbėjui, kone kėlė Avilai pasitenkinimą.
LT003-0050|Nesakykite, kad Jūsų marketingo pastangos yra puikios,
LT025-0006|Man labai, labai malonu. Aš jus žinau, tik neturėjau progos susipažinti, - Andrius kalbėjo su manimi angliškai, turbūt todėl,
LT016-0008|ir teisines, ir moralines),
LT035-0218|Draugas gulėjo netoliese, susmukęs ant šono, vis dar atsigręžęs į auditoriją; iš kaktoje žiojinčios skylės, kurią padarė kulka, sruveno kraujas.
LT025-0008|Jis man atrodė pabrėžtinai mandagus, visai ne toks, kokį įsivaizdavau iš spaudos.
LT014-0015|Telefonas, telefonas, telefonas. Čia bus visi atsakymai, gal. Palauk.
LT008-0072|darbine, gimtąja, savos kultūros, pomėgių bei aistros kalbomis.
LT034-0218|Kaip čia yra, kad šiuolaikinio žmogaus protas geba logiškai analizuoti,
LT023-0166|ką jie matė per televiziją, nesvarbu, kokioje programoje.
LT004-0005|Mums patinka jaustis gerai ir eiti tais keliais, kurie veda prie tam tikro poreikio patenkinimo.
LT003-0039|Įspėjimas: Baimė veiksminga tik tada, kai ji pasiekia reikalingą lygį: ne per daug, ne per mažai, bet būtent reikiamas baimės kiekis.
LT034-0043|Likęs vienas tunelyje, delnu ėmė braukti per medžiaginę sieną, kol užčiuopė siūlę.
