wavs/LT001-0001|﻿Jeigu tokia knyga jau lietuvių būtų buvusi parašyta, tuomet nedrįsčiau.
wavs/LT002-0146|Jei žinote, kodėl žmonės perka Jūsų siūlomus produktus ar paslaugas, stenkitės sužinoti, kas būtent juos džiugina...
wavs/LT002-0147|Šias priežastis galite išskirti pardavimo pranešimuose, taip jie taps dar patrauklesni ir jiems beveik nebus įmanoma atsispirti.
wavs/LT002-0148|Klientų paklausus, kodėl žmonės perka, jie dažniausiai atsako, kad juos motyvuoja viena iš žemiau pateiktų esminių emocijų:
wavs/LT002-0149|Baimė netekti
wavs/LT002-0150|Troškimas įgyti
wavs/LT002-0151|Komforto troškimas
wavs/LT002-0152|Asmeninio pasitenkinimo troškimas
wavs/LT002-0153|(rašymo technika FAB, kuri jums padės greitai paruošti produktų ar paslaugų aprašymus jūsų elektroninėje parduotuvėje ir aiškiai pristatyti naudą klientui)
wavs/LT002-0154|FAB technika: Feature (savybė), Advantage (privalumas), Benefit (nauda).
wavs/LT002-0155|Šios technikos tikslas - Jūsų produkto/paslaugos pagrindinę savybę (savybes) išversti į EMOCINĘ VERTĘ klientui ir pateikti tai aiškia žinute.
wavs/LT002-0156|Šią žinutę galite pateikti produkto aprašymo puslapyje, elektroniniame laiške, video, kataloge ar kitoje sklaidoje,
wavs/LT002-0157|kur jūs pateikiate produkto/paslaugos savybes.
wavs/LT002-0158|Visada pasitarkite su kolegomis ir draugais, kurie galės kritiškai įvertinti Jūsų sprendimą iš kliento pozicijų. Tuomet tekstą dar patobulinkite.
wavs/LT002-0159|Dabar dirbame tik prie teksto.
wavs/LT002-0160|Tačiau galutinis variantas turi būti su nuotraukomis ir visu gražiu dizainu.
wavs/LT002-0161|Eksperimentas: kišeninės vaizdo kameros “Kodak Zi-Aštuoni” pristatymo tekstas pagal F A B
wavs/LT002-0162|Pirmas) Feature:
wavs/LT002-0163|Prekės/paslaugos kiekis, tipas ar savybė
wavs/LT002-0164|pavyzdžiui: Full-HD dešimt aštuoniasdešimt P
wavs/LT002-0165|(čia nurodoma vaizdo kameros savybė - rezoliucijos kiekis)
wavs/LT002-0166|Bet jį turime išversti į paprastam žmogui suprantamą kalbą, nes žmogus neperka savybės, o perka emociją, kurią nori gauti.
wavs/LT002-0167|Taigi, koks yra aukščiau paminėtos savybės privalumas?
wavs/LT002-0168|Antras) Advantage:
wavs/LT002-0169|Prekės/paslaugos privalumas (privalumai)
wavs/LT002-0170|pavyzdžiui: Full-HD dešimt-aštuoniasdežimt P yra aukščiausia įmanoma HD video rezoliucija
wavs/LT002-0171|Bet ir čia dar ne viskas aišku paprastam žmogui, todėl tai dar turime išversti į naudą:
wavs/LT002-0172|Trečias) Benefit - Nauda
wavs/LT002-0173|pavyzdžiui: Jūsų filmuojami vaizdai įamžins visas svarbiausias gyvenimo detales: -
wavs/LT002-0174|Jūsų vaikučių plačias šypsenas - Tą tritaškį, kurį Jūsų mylima komanda pataikė paskutinę sekundę - Ir tuos linksmus gyvenimo momentus, kurių niekada neužmiršite
wavs/LT002-0175|Ir štai, panaudodami visuose trijuose etapuose sukurtus tekstus, sujungiame viską į vieną, gražų emocinę vertę klientui turintį sakinį.
wavs/LT002-0176|Šią kompaktišką vaizdo kamerą “Kodak Zi-aštuoni” Full-HD dešimt aštuoniasdešimt P visada turėkite su savimi.
wavs/LT002-0177|Full-HD dešimt aštuoniasdešimt P yra aukščiausia įmanoma
wavs/LT002-0178|HD video rezoliucija, todėl Jūsų filmuojami vaizdai įamžins visas svarbiausias gyvenimo detales: -
wavs/LT002-0179|Jūsų vaikučių plačias šypsenas - Tą lemiamą tritaškį, kurį Jūsų mylima komanda pataikė paskutinę sekundę -
wavs/LT002-0180|Ir tuos linksmus gyvenimo momentus, kuriuos visada norėsite prisiminti
wavs/LT002-0181|LOGIKA MARKETINGO SRITYJE
wavs/LT002-0182|Dabar, kai jau susipažinote su emociniu vartotojų pirkimo aspektu, galime pereiti prie logikos.
wavs/LT002-0183|Kiek anksčiau susipažinote su svarbia faktų seka:
wavs/LT002-0184|SAVYBĖS apeliuoja į žmogaus LOGIKĄ, NAUDA apeliuoja į žmogaus EMOCIJAS,
wavs/LT002-0185|LOGIKA PATEISINA EMOCIJAS, o būtent EMOCIJOS SKATINA PARDAVIMĄ.
wavs/LT002-0186|Atėjo laikas įsisąmoninti, kokia logika tinka darbui su vartotojais.
wavs/LT002-0187|Atsakymas labai paprastas – sąžiningumas.
wavs/LT002-0188|Sąžiningumas yra pati geriausia strategija!
wavs/LT002-0189|Norėdami daryti įtaką, klientams privalote apie savo produktą / paslaugą pateikti tik teisingus ir patikimus faktus.
wavs/LT002-0190|Šie faktai emociniam pirkimui bus lyg “logiškas pateisinimas”.
wavs/LT002-0191|Automobilių šalis
wavs/LT002-0192|Logikos–emocijų ryšį bei patikimų faktų svarbą geriausiai pavaizduotų pavyzdys apie automobilių naudojimą.
wavs/LT002-0193|Labai dažnai žmonės, pirkdami automobilius, pasiteisina logiškais paaiškinimais:
wavs/LT002-0194|šis automobilis saugus arba, šis automobilis naudoja mažai kuro, tačiau tikroji tokio pirkinio priežastis dažnai būna visiškai kitokia.
wavs/LT002-0195|Didelė dalis žmonių, perkančių tokias sportines mašinas kaip „Ferrari“ ar „Porsche“, retai kada naudoja visą jų galią,
wavs/LT002-0196|o perkantieji visureigius retai kada važinėja sudėtingais keliais.
wavs/LT002-0197|Tad kodėl šie automobiliai turi tokią paklausą?
wavs/LT002-0198|Kadangi jie laikomi prabangiais, jų pavydi kiti ir, netgi manoma, kad turint tokį automobilį, galima patekti į visas vietas, kuriose lankosi gražūs ir žymūs žmonės.
wavs/LT002-0199|Tačiau visos šios priežastys skamba lėkštai, todėl vartotojai savo emociniams poreikiams tenkinti susikuria logišką pateisinimą.
wavs/LT002-0200|Įdomu tai, kad ta pati logika gali pateisinti daugelį emocinių pirkimų.
wavs/LT002-0201|Kaip kurie žmonės nori jaustis saugūs, todėl nori patikimo automobilio.
wavs/LT002-0202|Savo saugumo poreikį jie pateisina logika, kad patikimas automobilis yra gera investicija, nes jis ilgai tarnaus.
wavs/LT002-0203|Todėl šiems pirkėjams svarbi vyriausybės ir automobilių draudimo kompanijų publikuojama statistika.
wavs/LT002-0204|Kiti vairuotojai nuolat ieško jaudulio ir nori jaustis kaip NASCAR ar bent jau ENEOS tūkstančio kilometrų lenktynių dalyviai.
wavs/LT002-0205|Jie savo poreikį dideliam greičiui pateisina tuo, kad sportiniai automobiliai yra puiki investicija, nes jie puikiai išlaiko savo kainą.
wavs/LT002-0206|Šiems pirkėjams labai svarbi žurnaluose apie prabangius automobilius skelbiama statistika.
wavs/LT002-0207|Dar kiti vairuotojai nori jaustis finansiškai nuovokūs.
wavs/LT002-0208|Savo poreikį jaustis protingesniam už kitus jie pateisina tuo, kad automobiliai su mažomis kuro sąnaudomis yra puiki investicija.
wavs/LT002-0209|Klientus pavergs faktai, paimti iš tokių šaltinių kaip „Pranešimai vartotojams“.
wavs/LT002-0210|Pasak žinynų, logika yra gebėjimas argumentuojant naudoti faktus ir taisykles.
wavs/LT002-0211|Todėl pats geriausias pardavėjas bus tas, kuris logikai paremti naudos faktus.
wavs/LT002-0212|Tačiau nepamirškite, nors logika ir yra labai svarbi vartotojo sprendimams įsigyti automobilį ar visureigį,
wavs/LT003-0001|Trečias) Smalsumo mygtukas.
wavs/LT003-0002|Ketvirtas) Seksualumo mygtukas.
wavs/LT003-0003|Penktas) Nemokamos dovanos mygtukas.
wavs/LT003-0004|Paprastai žmonės pagrindiniais poreikiais įvardija maistą, būstą, aprangą ir meilę.
wavs/LT003-0005|Mes šiuos poreikius suvokiame nesąmoningai.
wavs/LT003-0006|Tiesiog troškimas juos patenkinti įsišaknijęs mūsų genuose ir yra atsakingas už pagrindinius mūsų, kaip žmonių, motyvus:
wavs/LT003-0007|išvengti skausmo ir padidinti patiriamą malonumą.
wavs/LT003-0008|Šiuolaikiniai žmonės, puikiai gebėdami šiuos paprastus poreikius tenkinti, jų sąrašą papildo kitais:
wavs/LT003-0009|Saugumo – poreikis jaustis saugiam.
wavs/LT003-0010|Nuotykių – noras jausti pakilimą.
wavs/LT003-0011|Laisvės – poreikis nepriklausomybei ir spontaniškumui.
wavs/LT003-0012|poreikis dalytis informacija ir žiniomis.
wavs/LT003-0013|poreikis turėti valdžią.
wavs/LT003-0014|poreikis kurti ir augti.
wavs/LT003-0015|noras būti pripažintam.
wavs/LT003-0016|Bendruomenės – poreikis būti apsuptam tokių pačių žmonių.
wavs/LT003-0017|poreikis išreikšti save per kalbą, veiksmus, aprangą ir panašiai.
wavs/LT003-0018|Jei Jums pavyks savo sukurtoje marketingo medžiagoje pademonstruoti, jog gebate patenkinti kuriuos nors šių poreikių arba, dar geriau, keleto poreikių kombinaciją,
wavs/LT003-0019|tai produkto ar paslaugos pardavimas bus labai lengvai įgyvendinamas.
wavs/LT003-0020|Pirmas. BAIMĖS MYGTUKAS
wavs/LT003-0021|Greičiausiai kasdien nemąstote, kad galite smarkiai susirgti, tačiau draudimo bendrovės tai daro nuolatos.
wavs/LT003-0022|Pasinaudojusios blogiausių atvejų scenarijais, jos siekia Jus taip išgąsdinti, kad per daug negalvodami įsigysite jų siūlomą draudimą.
wavs/LT003-0023|Mūsų baimės nepriklauso nuo to, ar mes bijome ligos, praradimo, socialinio atstūmimo ir panašiai,
wavs/LT003-0024|jos mus motyvuoja priimti sprendimus, nes visuomet svarstome apie neigiamus dalykus:
wavs/LT003-0025|„Ar aš liksiu storas/stora, jei nesilaikysiu šios dietos?“,
wavs/LT003-0026|„Ar mano verslas sužlugs, jei neįsigysiu šios programinės įrangos?“,
wavs/LT003-0027|„Ar man bus gėda, jei nenaudosiu būtent šio dezodoranto?“
wavs/LT003-0028|Vartotojams būdingos keturių tipų baimės, taigi jas galite panaudoti savo naudai.
wavs/LT003-0029|Baimė, kad, neįsigijus Jūsų produkto, jų dabartinė padėtis iš geros pavirs prasta ir iš prastos taps visai bloga.
wavs/LT003-0030|Baimė, kad, įsigiję produktą ne iš Jūsų, o iš kitų, vartotojai sumokės per didelę kainą.
wavs/LT003-0031|Baimė suklysti ir pasirinkti kitą nei Jūsų siūlomas sprendimas.
wavs/LT003-0032|Baimė netekti progos.
wavs/LT003-0033|Praradimo baimė yra labai svarbus veiksnys:
wavs/LT003-0034|Rengdami savo marketingo medžiagą, atminkite, kad žmonės labiau reaguoja į tai, ko gali netekti, negu į tai, ką gaus.
wavs/LT003-0035|Tai vadinama praradimo baime.
wavs/LT003-0036|Užduokite sau klausimą:
wavs/LT003-0037|„Ko mano klientai neteks, jei nepirks mano siūlomo produkto ar paslaugos?“
wavs/LT003-0038|Radę atsakymą, rengiamame pranešime atpažinsite svarbiausią pardavimo aspektą.
wavs/LT003-0039|Įspėjimas: Baimė veiksminga tik tada, kai ji pasiekia reikalingą lygį: ne per daug, ne per mažai, bet būtent reikiamas baimės kiekis.
wavs/LT003-0040|Kaip žinoti, kada baimės lygis tinkamiausias?
wavs/LT003-0041|Tai nėra paprasta. Baimės turi būti tiek, kad žmonės pajustų poreikį imtis veiksmų, tačiau ne per daug, nes tai juos tiesiog atbaidys.
wavs/LT003-0042|Žinoma, šiuo mygtuku turite naudotis tik tada, kai minimų stimulų galima išvengti naudojantis Jūsų produktu.
wavs/LT003-0043|Antras. GODUMO MYGTUKAS
wavs/LT003-0044|Net jei Jūsų esami ar potencialūs klientai yra patys nuostabiausi žmonės pasaulyje, nei Jūs, nei Jūsų verslas ar filosofija jiems nerūpi.
wavs/LT003-0045|Nepriimkite to asmeniškai.
wavs/LT003-0046|Jiems netgi nerūpi Jūsų produkto techninės savybės.
wavs/LT003-0047|Jų rūpestis daug siauresnio pobūdžio.
wavs/LT003-0048|Klientams yra svarbiausia nauda, kurią gaus įsigiję Jūsų produktą ar paslaugą:
wavs/LT003-0049|kaip jie palengvins žmonių gyvenimus, kaip dėl jų klientams negalės atsispirti priešinga lytis arba kaip dėl jų žmonės taps turtingesni.
wavs/LT003-0050|Nesakykite, kad Jūsų marketingo pastangos yra puikios,
wavs/LT003-0051|geriau, naudodamiesi specifiniais metodais bei vaizdine medžiaga, pademonstruokite, kodėl yra naudinga pirkti iš Jūsų.
wavs/LT003-0052|Paprasta kalba paaiškinkite, kodėl Jūsų produktai ir paslaugos yra geresni už kitų.
wavs/LT003-0053|Viskas, ką sakote arba rašote, turi atsakyti į šį klausimą:
wavs/LT003-0054|„Kokia man iš to nauda?“
wavs/LT003-0055|Vartotojus ypač domina papildomos paskatos, premijos ir „papildytos vertės“ paketai.
wavs/LT003-0056|Taip yra, nes svarstydami, ar verta pirkti, jie nuolat bando įvertinti būsimą pirkinio naudą.
wavs/LT003-0057|“Godumo egzaminas“
wavs/LT003-0058|Norite sužinoti kaip sužinoti ar jūsų pasiūlymas tiks godiems žmonėms?
wavs/LT003-0059|Tiesiog paimkite ir suskaičiuokite kiek pasiūlyme paminėjote žodelių “Mes”, “Mūsų” ir palyginkite su žodelio “Jūs” ar “Jums” panaudojimo skaičiumi.
wavs/LT003-0060|Ir taip iš karto sužinosite ar rašote sau, ar savo klientams.
wavs/LT003-0061|Pasiūlyme tikslas turėtų būti toks - aštuoniasdešimt procentų teksto orientuoto į klientą, dvidešimt procentų apie save.
wavs/LT003-0062|Žinoma, tai yra rekomendacija, tačiau laikykitės tokio principo, kad didesnę pasiūlymo dalį turi sudaryti tekstas orientuotas į klientą.
wavs/LT003-0063|Jei Jūsų pasiūlymas susijęs su godumu, tokie žodžiai ar žodžių junginiai kaip: „pinigai“, „tapk turtingas“, „šešiaženklis skaičius“ ir „užsidirbk lengvai“,
wavs/LT003-0064|Jūsų skaitytojus labai nudžiugins.
wavs/LT003-0065|Taip pat godumui priskiriamos ir tokios reklaminės akcijos kaip “Du už vieno kainą” ar “Perki du, o trys nemokamai”.
wavs/LT003-0066|Idealiu atveju Jums reikėtų vartoti daug trumpų, vienskiemenių žodžių, su kuriais susijusios skaitytojų emocijos.
wavs/LT003-0067|Išsirinkite penkis ar šešis svarbiausius žodžius, kurie sužadins godumo poreikį ir lengvai išmėtykite juos savo marketingo medžiagoje.
wavs/LT003-0068|Taip sukelsite emocinių reakcijų, kurios paskatins pirkimus.
wavs/LT003-0069|Nepaisant to, ką sako kiti, godumas yra žmogaus psichologijos dalis. Visi nori turėti ar gauti daugiau, ypač už mažesnę kainą.
wavs/LT003-0070|Jei Jūsų pranešimas klientui žadės, kad šiam atiteks „didesnė pyrago dalis“, jis tikrai patrauks dėmesį ir paskatins pardavimą.
wavs/LT003-0071|Atminkite: godumas yra puiki savybė!
wavs/LT003-0072|Galbūt ne visuomenės požiūriu, tačiau marketingo specialisto požiūriu – tikrai!
wavs/LT003-0073|Mūsų projektuose mes dažniausiai naudojame du godumo sužadinimo būdus - kainodarą ir bonusų/dovanų sistemą,
wavs/LT003-0074|kai žmogui papildomai nemokamai duodami kiti produktai ar paslaugos, jeigu jis perka pagrindinį produktą.
wavs/LT003-0075|Tas veikia jau dešimtus metus ir manau veiks sėkmingai tol, kol žmogus matys akivaizdžią pasiūlymo naudą.
wavs/LT003-0076|Tačiau čia trumpa istorija apie mūsų vieną kainodaros eksperimentą:
wavs/LT003-0077|Vienu įdomiausių ir sėkmingiausių kainodaros eksperimentu laikyčiau du tūkstančiai devintais, du tūkstančiai dvyliktais metus, kai pardavinėjau Algirdo Karaliaus seminarus.
wavs/LT003-0078|Tuomet sugalvojau kainą, kuri tapo tikru virusu Lietuvoje ir padėjo parduoti per šį laikotarpį daugybę tūkstančių bilietų:
wavs/LT003-0079|Seminaro kaina vienam dalyviui buvo šimtas keturiasdešimt devyni litai,
wavs/LT003-0080|tačiau, jeigu seminare pageidavo dalyvauti du ar daugiau žmonių iš įmonės, kaina vienam dalyviui būdavo tik devyniasdešimt devyni litai.
wavs/LT003-0081|Tai penkiasdešimt litų nuolaida ne antram dalyviui, kaip būna dažniausiai, o abiems ar daugiau.
wavs/LT003-0082|Tai yra šimto keturiasdešimt devynių litų kaina pasinaikina tą pačią akimirką, kai tik žmogus nusprendžia pasikviesti antrą asmenį į seminarą.
wavs/LT003-0083|Nors dabar jums tai gali atrodyti labai paprasta, tačiau tas paprastumas ir buvo vienas svarbiausių argumentų žmogui -
wavs/LT003-0084|ši kainodara paskatino labai masyvią rinkodarą iš lūpų į lūpas,
wavs/LT003-0085|kai žmonės vieni kitus kvietė dalyvauti seminare, nes dviems ar daugiau - tiesiog gerokai pigiau.
wavs/LT003-0086|Mes suskaičiavome, kad vidutiniškai į seminarą apie penkiolika procentų dalyvių ateidavo SOLO, tai yra po vieną,
wavs/LT003-0087|o visi kiti - net aštuoniasdešimt penki procentai visų dalyvių, atėjo po du ir daugiau.
wavs/LT003-0088|Ir šie seminarai mums atnešė ne tik daugybę pajamų, tačiau ir naujų klientų, kuriuos “atvesdavo” mūsų esami ir nuolat sugrįžtantys klientai.
wavs/LT003-0089|Tas pats vyko ir kitų mūsų projektų metu, kai darydavome įprastą “du bilietai už vieno kainą” pasiūlymą.
wavs/LT003-0090|Vis sutinku žmonių, kurie tam prieštarauja, sako čia senos tiesos..
wavs/LT003-0091|Vieni reklamos ekspertai mus “pakonsultavo” to nedaryti prieš pirmąją Forum One konferenciją ir išankstinių bilietų prekybą..
wavs/LT003-0092|dėl ko vėliau labai gailėjomės, kad paklausėme.
wavs/LT003-0093|Tad būkit geri - kai darote kažkokią specialią kampaniją, kuria nuoširdžiai tikite ir intuityviai jaučiate,
wavs/LT003-0094|tai ir darykite tai, o neklausykite aplinkinių, jeigu jų patirtis už jūsiškę daug mažesnė.
wavs/LT003-0095|Trečias. SMALSUMO MYGTUKAS
wavs/LT003-0096|Visiems individams, ypač žmonėms, būdingas smalsumas.
wavs/LT003-0097|Mes ne vien reaguojame į pasaulį, bet ir jį tiriame:
wavs/LT003-0098|žvelgiame po akmenimis, atitraukiame užuolaidas ir baksnojame į neįprastus, nežinomus objektus.
wavs/LT003-0099|Įrodyta, kad žemiau pateikti žodžiai bei žodžių junginiai sužadina smalsumą ir apatiją paverčia susidomėjimu:
wavs/LT003-0100|Kažkas paskleidė informaciją...
wavs/LT003-0101|Atsakymas, kurio ilgai ieškojote...
wavs/LT003-0102|Ištrauka („sneak peak“)...
wavs/LT003-0103|Informacija tik Jums!
wavs/LT003-0104|Faktai, kurių nežinojote apie ...
wavs/LT003-0105|Kad smalsumas pasitarnautų Jūsų naudai, sužadinę poreikį, kurį reikia patenkinti, turite tuojau pat klientams pranešti, kad turite jiems sprendimą, pavyzdžiui:
wavs/LT003-0106|Yra būdas, padėsiantis Jums visam laikui mesti rūkyti...
wavs/LT003-0107|Jis pateiktas kitame puslapyje!
wavs/LT003-0108|Nepatikėsite, ką padarė mūsų tiekėjas...
wavs/LT003-0109|Ir dabar galite iš jo klaidos pasipelnyti!
wavs/LT003-0110|Kelias, vedantis į finansinę laisvę, neprivalo būti ilgas...
wavs/LT003-0111|Jei Jūs, kaip ir MES, žinote trumpesnį!
wavs/LT003-0112|Mūsų troškimas atrasti yra įgimtas, todėl smalsumo stimuliavimas tampa galinga jėga, galinčia paskatinti vartotojus labiau gilintis į Jūsų pateikiamą medžiagą.
wavs/LT003-0113|Smalsumas prikausto vartotojo dėmesį viso pardavimo medžiagos skaitymo metu.
wavs/LT003-0114|Nemažai žmonių nemėgsta reklamų ir net nesistengia atverti elektroninio laiško, jei mano, kad jame reklaminė medžiaga,
wavs/LT003-0115|išskyrus tuos atvejus, kai jie nuoširdžiai susidomi reklamuojamo produkto įsigijimu arba yra sužadinamas jų smalsumas.
wavs/LT003-0116|SEKSUALUMO MYGTUKAS
wavs/LT003-0117|Ar seksas pardavime turi paklausą?
wavs/LT003-0118|Pagal stiprumą seksas yra antrasis mūsų instinktas, einantis iš karto po savisaugos.
wavs/LT003-0119|Alkoholio reklamas, kuriose buvo vaizduojamas seksualumas, žmonės įsiminė devyniasdešimt vienu procentu dažniau nei tas, kuriose seksualumas nebuvo išnaudotas.
wavs/LT003-0120|Žurnalas “Sports Illustrated”, su kartą per metus leidžiamu maudymosi kostiumėlių priedu, parduodamas penkiasdešimt devyniems milijonams skaitytojų,
wavs/LT003-0121|kai paprastas leidinys parduodamas tik dvidešimtvieno milijono tiražu.
wavs/LT003-0122|„Cosmo“ žurnalo su publikuotais seksualiausių žmonių rinkimais parduota du milijonai trys šimtai tūkstančių kopijų.
wavs/LT003-0123|Vidutiniškai šio žurnalo kopijų parduodama apie milijonas septyni šimtai tūkstančių.
wavs/LT003-0124|Tik seksualiems žmonėms
wavs/LT003-0125|Reklamose seksualumu grindžiami vaizdai verčia vartotoją manyti,
wavs/LT003-0126|kad, pirkdamas šį produktą, jis ar ji atrodys taip, kaip reklamose esantys žmonės, jiems bus taip pat linksma ir galbūt netgi jais pataps.
wavs/LT003-0127|Seksualumo aspektas tinkamiausias tada, kai produktas ar paslauga iš tikrųjų ar tariamai padidina fizinį patrauklumą, pavyzdžiui:
wavs/LT003-0128|pažinčių svetainės, naktiniai klubai, alkoholiniai gėrimai, kvepalai, kosmetika, drabužiai, asmeninės higienos produktai ir ypač automobiliai.
wavs/LT003-0129|Vadinasi, siekiant parduoti šiuos produktus, būtina reklamose pabrėžti seksualumą.
wavs/LT003-0130|Kitu atveju, įmonės turėtų investuoti savo pinigus komunikuojant unikalias produkto naudas,
wavs/LT003-0131|o ne į neprognozuojamas pasekmes galinčią atnešti seksualumu pulsuojančią reklamą.
wavs/LT003-0132|Puikus pavyzdys, kaip buvo išnaudotas seksualumo mygtukas, kuris tapo tiesiog verslo modeliu - tai išskirtinai gražiems žmonėms skirta pažinčių svetainė BeautifulPeople.com -
wavs/LT003-0133|į ją būsite priimti tik tuomet, jeigu jos esami nariai jus pripažins pakankamai gražiu žmogumi
wavs/LT003-0134|Imkite ir pabandykite!
wavs/LT003-0135|Penktas. NEMOKAMOS DOVANOS MYGTUKAS
wavs/LT003-0136|Potencialiam klientui skirdamas nemokamą dovaną, nesitikėk dovanos atgal, tikėkis verslo santykių.
wavs/LT003-0137|Reciprokiškumo principas nurodo, jei ką nors duodi kitiems, tai mainais jie ką nors duos ir Tau.
wavs/LT003-0138|Ne be reikalo „McDonald‘s“ rinkinys „Happy meal“ papildytas dovanėle, o verslo įmonės potencialius klientus kviečiasi pietų.
wavs/LT003-0139|Kiekvienu atveju tikimasi, kad nemokami malonumai išplėtos verslą.
wavs/LT003-0140|Siūlydami nemokamą dovanėlę, aiškiai nurodykite, kad nieko už ją nesitikite.
wavs/LT003-0141|„Jei planuojate įsigyti baseiną, galiu atsiųsti Jums nemokamą brošiūrą „Nesudėtingas baseino diegimas“.
wavs/LT003-0142|Ir nesvarbu, ar baseiną pirksite pas mus, ar kur kitur, ši informacija labai palengvins diegimo procesą.“
wavs/LT003-0143|Toks pasiūlymas rodo, kad esate geras žmogus. Dėl to klientai gali norėti Jums atsidėkoti baseiną pirkdami būtent iš Jūsų.
wavs/LT003-0144|Labai svarbu, kad dovana tikrai būtų nemokama.
wavs/LT003-0145|Šūkis „Pirk ir gauk dovanų“ tikrai mažiau sužavės nei „Nemokama dovana be jokių įsipareigojimų“.
wavs/LT003-0146|Abipusiai santykiai su klientu, kaip ir bet kurie kiti santykiai, yra lyg dvipusio eismo gatvė. Labai svarbu, kad Jūsų siūloma dovana iš tikrųjų būtų vertinga.
wavs/LT003-0147|Nemokama žurnalo „Playboy“ prenumerata perkant dėžutę prezervatyvų – protingas sprendimas,
wavs/LT003-0148|tačiau tikrai nereikėtų vartotojui, perkančiam knygą apie dietą, dovanoti šokolado.
wavs/LT003-0149|Niujorko universiteto studentas vidutinio dydžio elektronikos prekių parduotuvėje atliko eksperimentą.
wavs/LT003-0150|Kas antras įeinantis į parduotuvę žmogus buvo pasveikintas šiais žodžiais:
wavs/LT003-0151|„Ačiū Jums, kad šiandien perkate pas mus. Džiaugiamės, kad esate mūsų klientas.“
wavs/LT003-0152|Pasveikinti klientai vidutiniškai išleido po keturis šimtus aštuonis dolerius, tris centus.
wavs/LT003-0153|Tie, kurie įeidami į parduotuvę nebuvo sveikinami, vidutiniškai išleido du šimtus keturiasdešimt dolerių, penkiasdešimt keturis centus.
wavs/LT003-0154|Ištarti „ačiū“ nekainavo nė cento!
wavs/LT003-0155|MŪSŲ ISTORIJA (ką jūs galite padovanoti savo potencialiems klientams šiandien?)
wavs/LT003-0156|Seminarų ir konferencijų, konsultacijų ir profesinių paslaugų versle nemokamos dovanos vaidina svarbų vaidmenį.
wavs/LT003-0157|Jos padeda kurti potencialių klientų kontaktų bazę ir su jais palaikyti ryšį reguliariais naujienlaiškiais, nemokamu naudingu turiniu ir jau tuomet
wavs/LT003-0158|komerciniais pasiūlymais.
wavs/LT003-0159|Mano pats ryškiausias nemokamos dovanos pasiūlymas savo mąstu buvo sėkmės mokytojo Algirdo Karaliaus knygos “Sėkmės Instinktas” reklaminė kampanija,
wavs/LT003-0160|kurią mums įgyvendinti padėjo “Omnitel”.
wavs/LT003-0161|Mes pasiūlėme “Omnitel” padovanoti Algirdo Karaliaus knygą PDF formatu visiems jų klientams.
wavs/LT003-0162|Tiesiog sutarėme, kad jie išsiųstų naujienlaiškį su informacija ir nuoroda į mūsų knygos puslapį, kuriame taip pat buvo gražiai integruotas “Omnitel” prekės ženklas.
wavs/LT003-0163|Net apie penkiolika tūkstančių žmonių užsisakė šią knygą, įvesdami savo vardą, elektroninio pašto adresą ir mobilaus telefono numerį.
wavs/LT003-0164|Vėliau paruošę naują seminarą, mes pardavėme net devynis šimtus bilietų būtent šiai naujai prenumeratorių bazei.
wavs/LT003-0165|Pagalvokite ką jūs galėtumėte padovanoti savo potencialiems klientams?
wavs/LT003-0166|Ir dar pagalvokite kas galėtų padėti jums šią dovaną plačiai paskleisti
wavs/LT003-0167|(interneto portalai, mob. ryšio operatoriai, daug fanų turintis Facebook puslapis,
wavs/LT003-0168|Ir dar apie nemokamą dovaną..
wavs/LT003-0169|Trumpa istorija - sporto klubų tinklas, naujo klubo atidarymo proga, nusprendė padaryti tikrai unikalią kampaniją -
wavs/LT003-0170|buvo nusamdyti šaržų meistrai, kurie visiems norintiems nupiešdavo jų šaržus nemokamai..
wavs/LT003-0171|O ant šaržų tie žmonės buvo pavaizduoti su puikiu, ištreniruotu kūnu ir sporto klubo logotipu:
wavs/LT004-0001|valausi dantis, naudodamas man patinkančią dantų pastą, vilkiu marškinėlius su man patinkančios komandos pavadinimu (Chicago Bulls,
wavs/LT004-0002|Trisdešimt trečias numeris Scottie Pippen) ir panašiai.
wavs/LT004-0003|Taip pat stengiuosi išvengti to, kas verčia mane jaustis blogai.
wavs/LT004-0004|Manau, dauguma mūsų mąsto taip pat.
wavs/LT004-0005|Mums patinka jaustis gerai ir eiti tais keliais, kurie veda prie tam tikro poreikio patenkinimo.
wavs/LT004-0006|Jei tai nuteikia gerai, pirk DABAR!
wavs/LT004-0007|Dažniausiai mus motyvuoja geros savijautos ieškojimas.
wavs/LT004-0008|Perkame įvairius produktus, tikėdamiesi, kad šie pagerins mūsų gyvenimo kokybę ir padės jaustis gerai arba palengvins kai kurias užduotis.
wavs/LT004-0009|„WSL Strategic Retail“ prezidentė Wendy Liebman teigia:
wavs/LT004-0010|„Vartotojams, kai kalbame apie prabangių prekių ar ypatingų paslaugų įsigijimą, frazė „neatidėk rytdienai“ tampa daugiau nei paprastas aforizmas.
wavs/LT004-0011|Ji yra jų gyvenimo būdas.“
wavs/LT004-0012|Malonumo principas
wavs/LT004-0013|Kadangi vartotojai orientuoti į gerą savijautą, būtent tai ir turėtumėte pardavinėti: produktus ir paslaugas, padėsiančias jiems išvengti skausmo ir mėgautis malonumais.
wavs/LT004-0014|Tiesiog duokite žmonėms tai, ko jie trokšta!
